,Date,daily number of doses received by Larimer County residents,total number of doses recevied by residents,daily number of residents receiving first dose,total number of residents receiving first dose,daily number of residents vaccinated,total number of residents vaccinated,daily number of 70+ vaccinated,total number of 70+ vaccinated,daily number of 70+ at least one dose,total number of 70+ at least one dose,daily number of Latinx residents vaccinated,total of Latinx residents vaccinated,daily number of White non-Latinx residents vaccinated,total of White non-Latinx residents vaccinated,daily number of non-White non-Latinx residents vaccinated,total of non-White non-Latinx residents vaccinated,dailyUnknown,totalUnknown,daily_additional_doses,total_additional_doses,daily_second_booster ,total_second_boosters
190,6/22/2021,619,390029,252,208523,406,196410,13.0,33692,8.0,34850,32.0,9996,318,169345,28.0,11614,28.0,5455,1,1046,0,81
191,6/23/2021,511,390540,186,208709,352,196762,8.0,33700,10.0,34860,42.0,10038,254,169599,33.0,11647,23.0,5478,9,1055,1,82
192,6/24/2021,534,391074,207,208916,353,197115,13.0,33713,9.0,34869,35.0,10073,272,169871,24.0,11671,22.0,5500,2,1057,0,82
193,6/25/2021,691,391765,274,209190,441,197556,13.0,33726,9.0,34878,44.0,10117,329,170200,42.0,11713,26.0,5526,3,1060,0,82
194,6/26/2021,606,392371,165,209355,455,198011,9.0,33735,9.0,34887,79.0,10196,300,170500,47.0,11760,29.0,5555,3,1063,1,83
195,6/27/2021,184,392555,67,209422,119,198130,2.0,33737,3.0,34890,10.0,10206,87,170587,12.0,11772,10.0,5565,2,1065,0,83
196,6/28/2021,491,393046,206,209628,292,198422,7.0,33744,6.0,34896,40.0,10246,208,170795,26.0,11798,18.0,5583,8,1073,0,83
197,6/29/2021,566,393612,255,209883,342,198764,17.0,33761,11.0,34907,43.0,10289,251,171046,23.0,11821,25.0,5608,8,1081,2,85
198,6/30/2021,423,394035,206,210089,230,198994,8.0,33769,11.0,34918,20.0,10309,173,171219,17.0,11838,20.0,5628,8,1089,2,87
199,7/1/2021,511,394546,215,210304,309,199303,9.0,33778,7.0,34925,23.0,10332,231,171450,34.0,11872,21.0,5649,13,1102,2,89
200,7/2/2021,572,395118,273,210577,312,199615,7.0,33785,7.0,34932,28.0,10360,244,171694,25.0,11897,15.0,5664,6,1108,0,89
201,7/3/2021,305,395423,120,210697,192,199807,4.0,33789,3.0,34935,28.0,10388,125,171819,20.0,11917,19.0,5683,5,1113,0,89
202,7/4/2021,55,395478,20,210717,35,199842,1.0,33790,0.0,34935,4.0,10392,22,171841,1.0,11918,8.0,5691,0,1113,0,89
203,7/5/2021,324,395802,143,210860,178,200020,3.0,33793,1.0,34936,19.0,10411,123,171964,26.0,11944,10.0,5701,9,1122,0,89
204,7/6/2021,469,396271,192,211052,288,200308,4.0,33797,5.0,34941,46.0,10457,207,172171,21.0,11965,14.0,5715,3,1125,0,89
205,7/7/2021,387,396658,215,211267,191,200499,8.0,33805,6.0,34947,23.0,10480,139,172310,13.0,11978,16.0,5731,5,1130,0,89
206,7/8/2021,434,397092,205,211472,252,200751,9.0,33814,8.0,34955,25.0,10505,178,172488,26.0,12004,23.0,5754,4,1134,1,90
207,7/9/2021,479,397571,193,211665,297,201048,10.0,33824,2.0,34957,39.0,10544,216,172704,24.0,12028,18.0,5772,2,1136,2,92
208,7/10/2021,266,397837,153,211818,133,201181,5.0,33829,2.0,34959,5.0,10549,110,172814,10.0,12038,8.0,5780,2,1138,0,92
209,7/11/2021,222,398059,120,211938,125,201306,6.0,33835,7.0,34966,11.0,10560,93,172907,9.0,12047,12.0,5792,7,1145,2,94
210,7/12/2021,392,398451,204,212142,201,201507,6.0,33841,4.0,34970,27.0,10587,135,173042,22.0,12069,17.0,5809,4,1149,0,94
211,7/13/2021,438,398889,226,212368,233,201740,17.0,33858,9.0,34979,28.0,10615,181,173223,12.0,12081,12.0,5821,4,1153,0,94
212,7/14/2021,289,399178,156,212524,160,201900,8.0,33866,5.0,34984,19.0,10634,117,173340,9.0,12090,15.0,5836,4,1157,1,95
213,7/15/2021,367,399545,189,212713,186,202086,1.0,33867,4.0,34988,16.0,10650,139,173479,14.0,12104,17.0,5853,6,1163,0,95
214,7/16/2021,511,400056,245,212958,282,202368,8.0,33875,9.0,34997,24.0,10674,214,173693,22.0,12126,22.0,5875,1,1164,0,95
215,7/17/2021,275,400331,158,213116,136,202504,12.0,33887,4.0,35001,13.0,10687,105,173798,8.0,12134,10.0,5885,3,1167,0,95
216,7/18/2021,195,400526,117,213233,94,202598,4.0,33891,3.0,35004,13.0,10700,67,173865,7.0,12141,7.0,5892,3,1170,0,95
217,7/19/2021,407,400933,206,213439,209,202807,9.0,33900,8.0,35012,26.0,10726,153,174018,18.0,12159,12.0,5904,3,1173,2,97
218,7/20/2021,429,401362,216,213655,222,203029,6.0,33906,8.0,35020,13.0,10739,170,174188,25.0,12184,14.0,5918,6,1179,1,98
219,7/21/2021,345,401707,188,213843,177,203206,14.0,33920,14.0,35034,14.0,10753,132,174320,14.0,12198,17.0,5935,4,1183,1,99
220,7/22/2021,402,402109,234,214077,178,203384,7.0,33927,17.0,35051,21.0,10774,132,174452,18.0,12216,7.0,5942,6,1189,1,100
221,7/23/2021,556,402665,325,214402,239,203623,7.0,33934,10.0,35061,37.0,10811,165,174617,19.0,12235,18.0,5960,6,1195,0,100
222,7/24/2021,352,403017,214,214616,162,203785,9.0,33943,9.0,35070,20.0,10831,119,174736,9.0,12244,14.0,5974,2,1197,1,101
223,7/25/2021,192,403209,139,214755,65,203850,0.0,33943,4.0,35074,7.0,10838,47,174783,5.0,12249,6.0,5980,4,1201,0,101
224,7/26/2021,357,403566,206,214961,153,204003,2.0,33945,6.0,35080,11.0,10849,103,174886,20.0,12269,19.0,5999,10,1211,0,101
225,7/27/2021,431,403997,235,215196,183,204186,5.0,33950,16.0,35096,23.0,10872,127,175013,20.0,12289,13.0,6012,27,1238,0,101
226,7/28/2021,473,404470,284,215480,227,204413,4.0,33954,10.0,35106,30.0,10902,149,175162,17.0,12306,31.0,6043,4,1242,2,103
227,7/29/2021,518,404988,312,215792,237,204650,8.0,33962,7.0,35113,26.0,10928,179,175341,14.0,12320,18.0,6061,13,1255,1,104
228,7/30/2021,699,405687,483,216275,254,204904,10.0,33972,14.0,35127,29.0,10957,190,175531,17.0,12337,18.0,6079,9,1264,1,105
229,7/31/2021,338,406025,200,216475,139,205043,4.0,33976,1.0,35128,16.0,10973,110,175641,8.0,12345,5.0,6084,11,1275,0,105
230,8/1/2021,300,406325,177,216652,106,205149,0.0,33976,2.0,35130,14.0,10987,67,175708,9.0,12354,16.0,6100,32,1307,3,108
231,8/2/2021,450,406775,297,216949,182,205331,5.0,33981,14.0,35144,23.0,11010,126,175834,19.0,12373,14.0,6114,7,1314,2,110
232,8/3/2021,566,407341,347,217296,248,205579,6.0,33987,14.0,35158,40.0,11050,165,175999,16.0,12389,27.0,6141,5,1319,1,111
233,8/4/2021,399,407740,277,217573,154,205733,6.0,33993,14.0,35172,11.0,11061,115,176114,8.0,12397,20.0,6161,2,1321,1,112
234,8/5/2021,447,408187,287,217860,173,205906,6.0,33999,10.0,35182,21.0,11082,126,176240,16.0,12413,10.0,6171,8,1329,0,112
235,8/6/2021,686,408873,461,218321,277,206183,13.0,34012,16.0,35198,23.0,11105,208,176448,24.0,12437,22.0,6193,8,1337,0,112
236,8/7/2021,449,409322,313,218634,160,206343,4.0,34016,11.0,35209,12.0,11117,129,176577,5.0,12442,14.0,6207,5,1342,1,113
237,8/8/2021,217,409539,125,218759,100,206443,3.0,34019,5.0,35214,8.0,11125,71,176648,9.0,12451,12.0,6219,5,1347,2,115
238,8/9/2021,463,410002,274,219033,221,206664,4.0,34023,6.0,35220,20.0,11145,167,176815,11.0,12462,23.0,6242,7,1354,2,117
239,8/10/2021,505,410507,297,219330,233,206897,6.0,34029,13.0,35233,27.0,11172,179,176994,13.0,12475,14.0,6256,5,1359,4,121
240,8/11/2021,416,410923,260,219590,182,207079,11.0,34040,5.0,35238,18.0,11190,137,177131,14.0,12489,13.0,6269,3,1362,0,121
241,8/12/2021,543,411466,319,219909,267,207346,7.0,34047,15.0,35253,32.0,11222,188,177319,23.0,12512,24.0,6293,8,1370,2,123
242,8/13/2021,659,412125,376,220285,303,207649,10.0,34057,9.0,35262,30.0,11252,223,177542,19.0,12531,31.0,6324,7,1377,1,124
243,8/14/2021,512,412637,260,220545,259,207908,7.0,34064,8.0,35270,11.0,11263,220,177762,10.0,12541,18.0,6342,52,1429,2,126
244,8/15/2021,267,412904,130,220675,123,208031,2.0,34066,2.0,35272,11.0,11274,89,177851,6.0,12547,17.0,6359,22,1451,0,126
245,8/16/2021,542,413446,311,220986,178,208209,4.0,34070,11.0,35283,15.0,11289,139,177990,12.0,12559,12.0,6371,83,1534,3,129
246,8/17/2021,488,413934,229,221215,196,208405,17.0,34087,10.0,35293,17.0,11306,148,178138,11.0,12570,20.0,6391,89,1623,0,129
247,8/18/2021,594,414528,323,221538,272,208677,6.0,34093,14.0,35307,32.0,11338,184,178322,14.0,12584,42.0,6433,74,1697,4,133
248,8/19/2021,572,415100,280,221818,268,208945,7.0,34100,9.0,35316,21.0,11359,210,178532,22.0,12606,15.0,6448,84,1781,1,134
249,8/20/2021,853,415953,335,222153,474,209419,16.0,34116,12.0,35328,46.0,11405,375,178907,30.0,12636,23.0,6471,98,1879,1,135
250,8/21/2021,648,416601,212,222365,213,209632,6.0,34122,7.0,35335,15.0,11420,174,179081,13.0,12649,11.0,6482,235,2114,0,135
251,8/22/2021,311,416912,149,222514,138,209770,1.0,34123,2.0,35337,19.0,11439,98,179179,9.0,12658,12.0,6494,32,2146,2,137
252,8/23/2021,528,417440,261,222775,224,209994,11.0,34134,10.0,35347,20.0,11459,168,179347,13.0,12671,23.0,6517,66,2212,1,138
253,8/24/2021,576,418016,277,223052,285,210279,12.0,34146,8.0,35355,29.0,11488,224,179571,14.0,12685,18.0,6535,58,2270,2,140
254,8/25/2021,608,418624,327,223379,269,210548,13.0,34159,13.0,35368,22.0,11510,204,179775,10.0,12695,33.0,6568,55,2325,2,142
255,8/26/2021,543,419167,260,223639,258,210806,9.0,34168,13.0,35381,18.0,11528,199,179974,23.0,12718,18.0,6586,57,2382,0,142
256,8/27/2021,899,420066,356,223995,404,211210,15.0,34183,11.0,35392,37.0,11565,298,180272,25.0,12743,44.0,6630,177,2559,6,148
257,8/28/2021,1458,421524,202,224197,249,211459,8.0,34191,5.0,35397,23.0,11588,186,180458,13.0,12756,27.0,6657,1000,3559,13,161
258,8/29/2021,1075,422599,159,224356,140,211599,4.0,34195,4.0,35401,9.0,11597,114,180572,12.0,12768,5.0,6662,771,4330,10,171
259,8/30/2021,622,423221,272,224628,284,211883,10.0,34205,13.0,35414,23.0,11620,220,180792,8.0,12776,33.0,6695,97,4427,5,176
260,8/31/2021,803,424024,232,224860,231,212114,7.0,34212,12.0,35426,20.0,11640,182,180974,17.0,12793,12.0,6707,345,4772,7,183
261,9/1/2021,987,425011,256,225116,229,212343,13.0,34225,16.0,35442,21.0,11661,175,181149,14.0,12807,19.0,6726,521,5293,3,186
262,9/2/2021,823,425834,182,225298,205,212548,14.0,34239,13.0,35455,19.0,11680,151,181300,17.0,12824,18.0,6744,458,5751,4,190
263,9/3/2021,852,426686,335,225633,373,212921,14.0,34253,11.0,35466,44.0,11724,274,181574,21.0,12845,34.0,6778,165,5916,2,192
264,9/4/2021,376,427062,162,225795,174,213095,7.0,34260,8.0,35474,14.0,11738,137,181711,11.0,12856,12.0,6790,48,5964,2,194
265,9/5/2021,250,427312,130,225925,108,213203,2.0,34262,4.0,35478,13.0,11751,79,181790,8.0,12864,8.0,6798,23,5987,0,194
266,9/6/2021,114,427426,44,225969,62,213265,1.0,34263,0.0,35478,4.0,11755,46,181836,8.0,12872,4.0,6802,13,6000,0,194
267,9/7/2021,952,428378,200,226169,280,213545,18.0,34281,12.0,35490,22.0,11777,217,182053,17.0,12889,24.0,6826,481,6481,5,199
268,9/8/2021,784,429162,219,226388,228,213773,11.0,34292,12.0,35502,25.0,11802,170,182223,11.0,12900,22.0,6848,358,6839,5,204
269,9/9/2021,406,429568,177,226565,196,213969,10.0,34302,7.0,35509,23.0,11825,144,182367,14.0,12914,15.0,6863,56,6895,0,204
270,9/10/2021,767,430335,346,226911,319,214288,9.0,34311,23.0,35532,28.0,11853,241,182608,21.0,12935,29.0,6892,142,7037,4,208
271,9/11/2021,1614,431949,158,227069,205,214493,11.0,34322,16.0,35548,17.0,11870,156,182764,16.0,12951,16.0,6908,1259,8296,7,215
272,9/12/2021,233,432182,102,227171,113,214606,0.0,34322,2.0,35550,11.0,11881,73,182837,10.0,12961,19.0,6927,16,8312,2,217
273,9/13/2021,502,432684,217,227388,256,214862,9.0,34331,8.0,35558,25.0,11906,191,183028,12.0,12973,28.0,6955,50,8362,0,217
274,9/14/2021,848,433532,204,227592,277,215139,13.0,34344,13.0,35571,17.0,11923,224,183252,14.0,12987,22.0,6977,399,8761,3,220
275,9/15/2021,829,434361,189,227781,271,215410,15.0,34359,14.0,35585,21.0,11944,200,183452,17.0,13004,33.0,7010,394,9155,3,223
276,9/16/2021,369,434730,138,227919,201,215611,9.0,34368,8.0,35593,33.0,11977,145,183597,12.0,13016,11.0,7021,46,9201,0,223
277,9/17/2021,756,435486,291,228210,398,216009,15.0,34383,13.0,35606,29.0,12006,298,183895,40.0,13056,31.0,7052,120,9321,2,225
278,9/18/2021,1803,437289,127,228337,170,216179,5.0,34388,19.0,35625,11.0,12017,126,184021,16.0,13072,17.0,7069,1505,10826,10,235
279,9/19/2021,187,437476,79,228416,107,216286,3.0,34391,2.0,35627,7.0,12024,83,184104,5.0,13077,12.0,7081,14,10840,0,235
280,9/20/2021,389,437865,144,228560,222,216508,8.0,34399,9.0,35636,28.0,12052,163,184267,11.0,13088,20.0,7101,55,10895,0,235
281,9/21/2021,777,438642,164,228724,206,216714,8.0,34407,13.0,35649,22.0,12074,156,184423,12.0,13100,16.0,7117,420,11315,3,238
282,9/22/2021,722,439364,163,228887,235,216949,5.0,34412,11.0,35660,14.0,12088,187,184610,16.0,13116,18.0,7135,359,11674,5,243
283,9/23/2021,354,439718,146,229033,180,217129,8.0,34420,4.0,35664,9.0,12097,133,184743,14.0,13130,24.0,7159,48,11722,2,245
284,9/24/2021,694,440412,204,229237,279,217408,16.0,34436,15.0,35679,20.0,12117,222,184965,12.0,13142,25.0,7184,233,11955,2,247
285,9/25/2021,1715,442127,132,229369,177,217585,11.0,34447,21.0,35700,15.0,12132,139,185104,11.0,13153,12.0,7196,1411,13366,4,251
286,9/26/2021,260,442387,66,229435,85,217670,3.0,34450,3.0,35703,11.0,12143,63,185167,4.0,13157,7.0,7203,107,13473,2,253
287,9/27/2021,570,442957,155,229590,123,217793,7.0,34457,10.0,35713,7.0,12150,95,185262,8.0,13165,13.0,7216,308,13781,1,254
288,9/28/2021,1138,444095,158,229748,203,217996,19.0,34476,23.0,35736,14.0,12164,154,185416,10.0,13175,25.0,7241,796,14577,4,258
289,9/29/2021,1134,445229,173,229921,167,218163,10.0,34486,21.0,35757,14.0,12178,126,185542,8.0,13183,19.0,7260,805,15382,6,264
290,9/30/2021,710,445939,161,230082,169,218332,15.0,34501,7.0,35764,11.0,12189,130,185672,11.0,13194,17.0,7277,404,15786,8,272
291,10/1/2021,1189,447128,177,230259,313,218645,20.0,34521,15.0,35779,25.0,12214,245,185917,21.0,13215,22.0,7299,711,16497,9,281
292,10/2/2021,1800,448928,112,230371,112,218757,10.0,34531,13.0,35792,9.0,12223,92,186009,6.0,13221,5.0,7304,1573,18070,7,288
293,10/3/2021,398,449326,64,230435,113,218870,1.0,34532,2.0,35794,19.0,12242,77,186086,7.0,13228,10.0,7314,234,18304,0,288
294,10/4/2021,803,450129,114,230549,159,219029,7.0,34539,13.0,35807,27.0,12269,102,186188,17.0,13245,13.0,7327,535,18839,4,292
295,10/5/2021,1134,451263,139,230688,139,219168,11.0,34550,18.0,35825,13.0,12282,104,186292,9.0,13254,13.0,7340,870,19709,1,293
296,10/6/2021,1014,452277,111,230799,154,219322,7.0,34557,16.0,35841,11.0,12293,123,186415,5.0,13259,15.0,7355,764,20473,4,297
297,10/7/2021,829,453106,139,230938,113,219435,8.0,34565,17.0,35858,8.0,12301,89,186504,6.0,13265,10.0,7365,598,21071,1,298
298,10/8/2021,1040,454146,161,231099,247,219682,18.0,34583,10.0,35868,22.0,12323,193,186697,11.0,13276,21.0,7386,649,21720,0,298
299,10/9/2021,1680,455826,108,231207,132,219814,11.0,34594,6.0,35874,22.0,12345,98,186795,4.0,13280,8.0,7394,1435,23155,9,307
300,10/10/2021,245,456071,52,231259,65,219879,1.0,34595,3.0,35877,5.0,12350,51,186846,4.0,13284,5.0,7399,127,23282,2,309
301,10/11/2021,825,456896,118,231377,136,220015,16.0,34611,19.0,35896,3.0,12353,113,186959,9.0,13293,11.0,7410,578,23860,4,313
302,10/12/2021,1028,457924,113,231490,134,220149,8.0,34619,16.0,35912,17.0,12370,105,187064,4.0,13297,8.0,7418,791,24651,3,316
303,10/13/2021,971,458895,122,231612,151,220300,16.0,34635,10.0,35922,16.0,12386,112,187176,14.0,13311,9.0,7427,713,25364,8,324
304,10/14/2021,719,459614,99,231711,125,220425,14.0,34649,8.0,35930,20.0,12406,92,187268,8.0,13319,5.0,7432,502,25866,4,328
305,10/15/2021,1004,460618,172,231883,209,220634,10.0,34659,8.0,35938,16.0,12422,164,187432,12.0,13331,17.0,7449,652,26518,8,336
306,10/16/2021,808,461426,68,231951,81,220715,4.0,34663,3.0,35941,7.0,12429,69,187501,2.0,13333,3.0,7452,655,27173,7,343
307,10/17/2021,195,461621,47,231998,62,220777,1.0,34664,2.0,35943,4.0,12433,47,187548,2.0,13335,9.0,7461,84,27257,2,345
308,10/18/2021,660,462281,115,232113,136,220913,10.0,34674,3.0,35946,13.0,12446,106,187654,7.0,13342,10.0,7471,423,27680,4,349
309,10/19/2021,1060,463341,128,232241,133,221046,3.0,34677,12.0,35958,8.0,12454,107,187761,8.0,13350,10.0,7481,810,28490,3,352
310,10/20/2021,897,464238,122,232363,122,221168,7.0,34684,12.0,35970,9.0,12463,91,187852,7.0,13357,15.0,7496,664,29154,8,360
311,10/21/2021,542,464780,109,232472,127,221295,10.0,34694,7.0,35977,13.0,12476,85,187937,11.0,13368,18.0,7514,326,29480,5,365
312,10/22/2021,1489,466269,195,232667,162,221457,7.0,34701,13.0,35990,18.0,12494,109,188046,8.0,13376,27.0,7541,1149,30629,9,374
313,10/23/2021,1861,468130,87,232754,76,221533,9.0,34710,14.0,36004,1.0,12495,64,188110,4.0,13380,7.0,7548,1691,32320,12,386
314,10/24/2021,595,468725,81,232835,73,221606,6.0,34716,9.0,36013,7.0,12502,57,188167,4.0,13384,5.0,7553,447,32767,5,391
315,10/25/2021,1480,470205,142,232977,114,221720,20.0,34736,19.0,36032,8.0,12510,91,188258,7.0,13391,8.0,7561,1228,33995,11,402
316,10/26/2021,2133,472338,174,233151,137,221857,7.0,34743,17.0,36049,15.0,12525,104,188362,8.0,13399,10.0,7571,1817,35812,18,420
317,10/27/2021,1974,474312,148,233299,110,221967,6.0,34749,17.0,36066,5.0,12530,88,188450,10.0,13409,7.0,7578,1724,37536,8,428
318,10/28/2021,1797,476109,141,233440,114,222081,4.0,34753,23.0,36089,6.0,12536,92,188542,4.0,13413,12.0,7590,1535,39071,16,444
319,10/29/2021,1735,477844,180,233620,132,222213,4.0,34757,15.0,36104,8.0,12544,107,188649,5.0,13418,12.0,7602,1421,40492,14,458
320,10/30/2021,1583,479427,78,233698,80,222293,5.0,34762,7.0,36111,6.0,12550,62,188711,7.0,13425,5.0,7607,1418,41910,16,474
321,10/31/2021,461,479888,48,233746,37,222330,1.0,34763,6.0,36117,7.0,12557,27,188738,1.0,13426,2.0,7609,372,42282,4,478
322,11/1/2021,1349,481237,148,233894,114,222444,3.0,34766,13.0,36130,10.0,12567,79,188817,7.0,13433,18.0,7627,1085,43367,14,492
323,11/2/2021,1845,483082,127,234021,105,222549,8.0,34774,15.0,36145,11.0,12578,76,188893,8.0,13441,10.0,7637,1611,44978,17,509
324,11/3/2021,1756,484838,158,234179,119,222668,9.0,34783,20.0,36165,10.0,12588,84,188977,6.0,13447,19.0,7656,1481,46459,17,526
325,11/4/2021,1423,486261,146,234325,92,222760,4.0,34787,14.0,36179,1.0,12589,75,189052,5.0,13452,11.0,7667,1205,47664,9,535
326,11/5/2021,2048,488309,233,234558,166,222926,12.0,34799,11.0,36190,11.0,12600,134,189186,8.0,13460,13.0,7680,1667,49331,15,550
327,11/6/2021,1587,489896,218,234776,76,223002,2.0,34801,8.0,36198,5.0,12605,62,189248,4.0,13464,5.0,7685,1284,50615,17,567
328,11/7/2021,532,490428,125,234901,42,223044,1.0,34802,8.0,36206,4.0,12609,31,189279,1.0,13465,6.0,7691,359,50974,7,574
329,11/8/2021,1525,491953,385,235286,108,223152,6.0,34808,9.0,36215,8.0,12617,86,189365,3.0,13468,11.0,7702,1043,52017,8,582
330,11/9/2021,2667,494620,945,236231,134,223286,5.0,34813,20.0,36235,11.0,12628,89,189454,9.0,13477,25.0,7727,1597,53614,13,595
331,11/10/2021,2518,497138,821,237052,115,223401,8.0,34821,16.0,36251,10.0,12638,85,189539,10.0,13487,10.0,7737,1582,55196,20,615
332,11/11/2021,2348,499486,956,238008,98,223499,6.0,34827,8.0,36259,11.0,12649,70,189609,11.0,13498,6.0,7743,1295,56491,21,636
333,11/12/2021,2591,502077,755,238763,143,223642,9.0,34836,19.0,36278,14.0,12663,109,189718,9.0,13507,11.0,7754,1684,58175,24,660
334,11/13/2021,1938,504015,405,239168,70,223712,2.0,34838,10.0,36288,4.0,12667,47,189765,7.0,13514,12.0,7766,1463,59638,9,669
335,11/14/2021,1494,505509,909,240077,57,223769,1.0,34839,2.0,36290,7.0,12674,35,189800,6.0,13520,9.0,7775,536,60174,2,671
336,11/15/2021,1991,507500,442,240519,101,223870,5.0,34844,10.0,36300,12.0,12686,69,189869,7.0,13527,13.0,7788,1453,61627,9,680
337,11/16/2021,2441,509941,446,240965,105,223975,3.0,34847,18.0,36318,16.0,12702,72,189941,7.0,13534,10.0,7798,1876,63503,27,707
338,11/17/2021,2756,512697,637,241602,130,224105,7.0,34854,19.0,36337,9.0,12711,105,190046,6.0,13540,10.0,7808,1978,65481,34,741
339,11/18/2021,2039,514736,386,241988,109,224214,6.0,34860,11.0,36348,10.0,12721,82,190128,11.0,13551,6.0,7814,1534,67015,26,767
340,11/19/2021,2597,517333,719,242707,157,224371,3.0,34863,16.0,36364,11.0,12732,126,190254,10.0,13561,10.0,7824,1714,68729,27,794
341,11/20/2021,1897,519230,537,243244,46,224417,2.0,34865,5.0,36369,4.0,12736,36,190290,2.0,13563,4.0,7828,1299,70028,19,813
342,11/21/2021,656,519886,121,243365,43,224460,0.0,34865,1.0,36370,2.0,12738,31,190321,3.0,13566,7.0,7835,488,70516,6,819
343,11/22/2021,2013,521899,426,243791,113,224573,8.0,34873,20.0,36390,1.0,12739,91,190412,7.0,13573,14.0,7849,1467,71983,26,845
344,11/23/2021,1880,523779,285,244076,94,224667,4.0,34877,16.0,36406,9.0,12748,69,190481,9.0,13582,7.0,7856,1497,73480,14,859
345,11/24/2021,1539,525318,214,244290,94,224761,4.0,34881,11.0,36417,10.0,12758,73,190554,5.0,13587,6.0,7862,1238,74718,8,867
346,11/25/2021,50,525368,9,244299,0,224761,0.0,34881,0.0,36417,0.0,12758,0,190554,0.0,13587,,7862,39,74757,2,869
347,11/26/2021,1277,526645,192,244491,144,224905,2.0,34883,5.0,36422,14.0,12772,113,190667,11.0,13598,6.0,7868,953,75710,6,875
348,11/27/2021,974,527619,134,244625,124,225029,2.0,34885,2.0,36424,9.0,12781,102,190769,6.0,13604,7.0,7875,714,76424,7,882
349,11/28/2021,550,528169,91,244716,84,225113,2.0,34887,1.0,36425,6.0,12787,66,190835,5.0,13609,7.0,7882,374,76798,5,887
350,11/29/2021,1887,530056,260,244976,334,225447,7.0,34894,14.0,36439,25.0,12812,274,191109,23.0,13632,12.0,7894,1288,78086,16,903
351,11/30/2021,2720,532776,341,245317,717,226164,2.0,34896,12.0,36451,46.0,12858,609,191718,49.0,13681,13.0,7907,1646,79732,33,936
352,12/1/2021,2546,535322,270,245587,658,226822,6.0,34902,11.0,36462,28.0,12886,574,192292,52.0,13733,4.0,7911,1603,81335,29,965
353,12/2/2021,2863,538185,352,245939,838,227660,6.0,34908,14.0,36476,64.0,12950,680,192972,70.0,13803,24.0,7935,1659,82994,33,998
354,12/3/2021,2625,540810,279,246218,677,228337,9.0,34917,4.0,36480,57.0,13007,531,193503,65.0,13868,24.0,7959,1672,84666,13,1011
355,12/4/2021,2205,543015,162,246380,356,228693,3.0,34920,1.0,36481,18.0,13025,278,193781,30.0,13898,30.0,7989,1681,86347,11,1022
356,12/5/2021,1389,544404,96,246476,815,229508,1.0,34921,0.0,36481,65.0,13090,648,194429,72.0,13970,30.0,8019,481,86828,4,1026
357,12/6/2021,1972,546376,238,246714,390,229898,5.0,34926,6.0,36487,49.0,13139,297,194726,30.0,14000,14.0,8033,1344,88172,12,1038
358,12/7/2021,2480,548856,304,247018,374,230272,6.0,34932,8.0,36495,42.0,13181,293,195019,23.0,14023,16.0,8049,1799,89971,20,1058
359,12/8/2021,2258,551114,266,247284,437,230709,5.0,34937,12.0,36507,32.0,13213,359,195378,35.0,14058,11.0,8060,1561,91532,11,1069
360,12/9/2021,2193,553307,300,247584,399,231108,1.0,34938,8.0,36515,25.0,13238,305,195683,36.0,14094,33.0,8093,1490,93022,14,1083
361,12/10/2021,2115,555422,233,247817,329,231437,7.0,34945,8.0,36523,33.0,13271,246,195929,27.0,14121,23.0,8116,1543,94565,18,1101
362,12/11/2021,1801,557223,135,247952,458,231895,3.0,34948,1.0,36524,61.0,13332,336,196265,37.0,14158,24.0,8140,1202,95767,6,1107
363,12/12/2021,427,557650,54,248006,63,231958,1.0,34949,3.0,36527,4.0,13336,46,196311,7.0,14165,6.0,8146,310,96077,2,1109
364,12/13/2021,1773,559423,293,248299,346,232304,3.0,34952,7.0,36534,26.0,13362,275,196586,33.0,14198,12.0,8158,1143,97220,9,1118
365,12/14/2021,2217,561640,272,248571,258,232562,5.0,34957,3.0,36537,26.0,13388,203,196789,14.0,14212,15.0,8173,1687,98907,22,1140
366,12/15/2021,1762,563402,202,248773,153,232715,2.0,34959,4.0,36541,8.0,13396,119,196908,14.0,14226,12.0,8185,1409,100316,12,1152
367,12/16/2021,1836,565238,321,249094,171,232886,3.0,34962,7.0,36548,17.0,13413,139,197047,9.0,14235,6.0,8191,1338,101654,21,1173
368,12/17/2021,2137,567375,304,249398,350,233236,3.0,34965,10.0,36558,26.0,13439,278,197325,36.0,14271,10.0,8201,1475,103129,19,1192
369,12/18/2021,1829,569204,174,249572,179,233415,3.0,34968,4.0,36562,17.0,13456,149,197474,6.0,14277,7.0,8208,1454,104583,22,1214
370,12/19/2021,444,569648,42,249614,49,233464,1.0,34969,3.0,36565,5.0,13461,37,197511,3.0,14280,4.0,8212,350,104933,3,1217
371,12/20/2021,1594,571242,200,249814,176,233640,3.0,34972,9.0,36574,27.0,13488,129,197640,10.0,14290,10.0,8222,1212,106145,13,1230
372,12/21/2021,2231,573473,310,250124,174,233814,6.0,34978,8.0,36582,27.0,13515,119,197759,15.0,14305,13.0,8235,1741,107886,17,1247
373,12/22/2021,1911,575384,220,250344,198,234012,4.0,34982,9.0,36591,26.0,13541,148,197907,17.0,14322,7.0,8242,1480,109366,18,1265
374,12/23/2021,1274,576658,217,250561,145,234157,2.0,34984,4.0,36595,21.0,13562,98,198005,12.0,14334,14.0,8256,913,110279,11,1276
