,date,Hospitalizations/100k (7-day)
474,7/16/21,2.2164349
475,7/17/21,2.2164349
476,7/18/21,2.2164349
477,7/19/21,2.7705436
478,7/20/21,2.2164349
479,7/21/21,2.4934892
480,7/22/21,2.7705436
481,7/23/21,3.0475979
482,7/24/21,2.7705436
483,7/25/21,3.3246523
484,7/26/21,3.0475979
485,7/27/21,3.0475979
486,7/28/21,3.6017067
487,7/29/21,4.4328697
488,7/30/21,4.9869784
489,7/31/21,5.8181415
490,8/1/21,5.2640328
491,8/2/21,5.2640328
492,8/3/21,5.2640328
493,8/4/21,4.9869784
494,8/5/21,4.9869784
495,8/6/21,5.8181415
496,8/7/21,5.2640328
497,8/8/21,6.0951959
498,8/9/21,6.6493046
499,8/10/21,7.4804677
500,8/11/21,7.757522
501,8/12/21,7.4804677
502,8/13/21,7.2034133
503,8/14/21,7.4804677
504,8/15/21,9.1427938
505,8/16/21,9.9739569
506,8/17/21,11.082174
507,8/18/21,11.359229
508,8/19/21,12.190392
509,8/20/21,11.913337
510,8/21/21,11.082174
511,8/22/21,10.528066
512,8/23/21,10.251011
513,8/24/21,8.5886851
514,8/25/21,8.5886851
515,8/26/21,8.5886851
516,8/27/21,9.4198482
517,8/28/21,12.190392
518,8/29/21,11.636283
519,8/30/21,11.636283
520,8/31/21,12.7445
521,9/1/21,13.021555
522,9/2/21,12.190392
523,9/3/21,11.636283
524,9/4/21,9.6969025
525,9/5/21,9.4198482
526,9/6/21,9.1427938
527,9/7/21,8.8657395
528,9/8/21,9.4198482
529,9/9/21,10.528066
530,9/10/21,9.9739569
531,9/11/21,10.80512
532,9/12/21,9.9739569
533,9/13/21,9.6969025
534,9/14/21,9.1427938
535,9/15/21,8.8657395
536,9/16/21,7.2034133
537,9/17/21,8.5886851
538,9/18/21,8.0345764
539,9/19/21,8.3116307
540,9/20/21,8.8657395
541,9/21/21,8.8657395
542,9/22/21,8.0345764
543,9/23/21,8.8657395
544,9/24/21,9.1427938
545,9/25/21,9.4198482
546,9/26/21,11.636283
547,9/27/21,12.7445
548,9/28/21,13.298609
549,9/29/21,13.298609
550,9/30/21,13.298609
551,10/1/21,11.913337
552,10/2/21,11.359229
553,10/3/21,9.6969025
554,10/4/21,10.80512
555,10/5/21,11.913337
556,10/6/21,13.298609
557,10/7/21,14.683881
558,10/8/21,16.623261
559,10/9/21,17.731479
560,10/10/21,18.008533
561,10/11/21,15.792098
562,10/12/21,15.23799
563,10/13/21,14.960935
564,10/14/21,15.792098
565,10/15/21,14.960935
566,10/16/21,14.683881
567,10/17/21,14.129772
568,10/18/21,14.683881
569,10/19/21,14.960935
570,10/20/21,16.346207
571,10/21/21,15.792098
572,10/22/21,16.900316
573,10/23/21,17.731479
574,10/24/21,18.285588
575,10/25/21,18.285588
576,10/26/21,19.670859
577,10/27/21,19.393805
578,10/28/21,20.502022
579,10/29/21,19.116751
580,10/30/21,18.839696
581,10/31/21,18.285588
582,11/1/21,18.008533
583,11/2/21,16.900316
584,11/3/21,15.792098
585,11/4/21,12.7445
586,11/5/21,12.7445
587,11/6/21,11.636283
588,11/7/21,12.190392
589,11/8/21,12.190392
590,11/9/21,11.082174
591,11/10/21,10.251011
592,11/11/21,10.80512
593,11/12/21,10.80512
594,11/13/21,11.082174
595,11/14/21,11.082174
596,11/15/21,11.082174
597,11/16/21,11.913337
598,11/17/21,11.082174
599,11/18/21,10.528066
600,11/19/21,10.528066
601,11/20/21,10.251011
602,11/21/21,10.528066
603,11/22/21,9.4198482
604,11/23/21,9.4198482
